car_park_no,update_datetime,capacity_H_lots,available_H_lots,capacity_C_lots,available_C_lots,capacity_Y_lots,available_Y_lots,capacity_L_lots,available_L_lots,capacity_S_lots,available_S_lots,capacity_M_lots,available_M_lots
SMM,2025-03-08T13:14:45,10,50,864,386,240,169,0,0,0,0,0,0
W103,2025-03-08T13:18:13,0,0,339,254,0,0,0,0,0,0,0,0
W109,2025-03-08T13:18:13,0,0,22,6,0,0,0,0,0,0,0,0
W75,2025-03-08T13:18:13,0,0,375,289,0,0,0,0,0,0,0,0
W53,2025-03-08T13:16:24,0,0,397,234,0,0,0,0,0,0,0,0
W72,2025-03-08T13:17:56,0,0,524,377,0,0,0,0,0,0,0,0
W73,2025-03-08T13:17:56,0,0,440,326,0,0,0,0,0,0,0,0
T49,2025-03-08T13:19:27,0,0,468,258,0,0,0,0,0,0,0,0
T49A,2025-03-08T13:19:27,0,0,164,129,0,0,0,0,0,0,0,0
PR4,2025-03-08T13:19:28,0,0,1117,645,0,0,0,0,0,0,0,0
TBC2,2025-03-08T13:19:46,0,0,264,164,0,0,0,0,0,0,0,0
Y32,2025-03-08T13:19:38,0,0,382,232,0,0,0,0,0,0,0,0
Y31,2025-03-08T13:19:56,0,0,313,181,0,0,0,0,0,0,0,0
BJ19,2025-03-08T13:19:42,0,0,491,230,0,0,0,0,0,0,0,0
CK15,2025-03-08T13:19:42,0,0,246,99,0,0,0,0,0,0,0,0
CK6,2025-03-08T13:19:40,0,0,40,19,0,0,0,0,0,0,0,0
CK6A,2025-03-08T13:19:40,0,0,227,92,0,0,0,0,0,0,0,0
P11,2025-03-08T13:19:42,0,0,49,22,0,0,0,0,0,0,0,0
PM46,2025-03-08T13:19:57,0,0,237,107,0,0,0,0,0,0,0,0
HG1A,2025-03-08T13:20:01,0,0,563,367,0,0,0,0,0,0,0,0
HG36,2025-03-08T13:19:49,0,0,220,103,0,0,0,0,0,0,0,0
HG53,2025-03-08T13:19:41,0,0,201,81,0,0,0,0,0,0,0,0
HG56,2025-03-08T13:20:03,0,0,20,3,0,0,0,0,0,0,0,0
HG80,2025-03-08T13:19:48,0,0,437,337,0,0,0,0,0,0,0,0
Y68M,2025-03-08T13:20:20,0,0,595,377,0,0,0,0,0,0,0,0
Y68L,2025-03-08T13:20:20,0,0,6,3,0,0,0,0,0,0,0,0
W90,2025-03-08T13:19:37,0,0,499,403,0,0,0,0,0,0,0,0
W91,2025-03-08T13:19:37,0,0,414,286,0,0,0,0,0,0,0,0
DRM1,2025-03-08T13:19:40,0,0,448,393,0,0,0,0,0,0,0,0
DRM3,2025-03-08T13:19:41,0,0,285,220,0,0,0,0,0,0,0,0
DRM4,2025-03-08T13:19:41,0,0,104,47,0,0,0,0,0,0,0,0
DRM5,2025-03-08T13:19:41,0,0,84,52,0,0,0,0,0,0,0,0
DRS,2025-03-08T13:19:40,0,0,1325,1227,0,0,0,0,0,0,0,0
BJ20,2025-03-08T13:19:33,0,0,235,134,0,0,0,0,0,0,0,0
BJ68,2025-03-08T13:19:33,0,0,253,155,0,0,0,0,0,0,0,0
DRM2,2025-03-08T13:19:40,0,0,392,292,0,0,0,0,0,0,0,0
TM51,2025-03-08T13:18:53,0,0,330,225,0,0,0,0,0,0,0,0
W67,2025-03-08T13:19:21,0,0,246,179,0,0,0,0,0,0,0,0
W717,2025-03-08T13:19:21,0,0,114,86,0,0,0,0,0,0,0,0
SI13,2025-03-08T13:18:37,0,0,689,419,0,0,0,0,0,0,0,0
Y63M,2025-03-08T13:20:06,0,0,390,223,0,0,0,0,0,0,0,0
Y64M,2025-03-08T13:19:39,0,0,427,279,0,0,0,0,0,0,0,0
A21,2025-03-08T13:19:34,0,0,633,419,0,0,0,0,0,0,0,0
A29,2025-03-08T13:19:45,0,0,435,229,0,0,0,0,0,0,0,0
A63,2025-03-08T13:19:47,0,0,715,453,0,0,0,0,0,0,0,0
A88,2025-03-08T13:19:43,0,0,43,12,0,0,0,0,0,0,0,0
SB10,2025-03-08T13:17:59,0,0,549,450,0,0,0,0,0,0,0,0
SB11,2025-03-08T13:14:16,0,0,444,337,0,0,0,0,0,0,0,0
SB13,2025-03-08T13:17:58,0,0,1267,1016,0,0,0,0,0,0,0,0
SB12,2025-03-08T13:18:03,0,0,798,646,0,0,0,0,0,0,0,0
W65,2025-03-08T13:19:18,0,0,360,205,0,0,0,0,0,0,0,0
W66,2025-03-08T13:18:33,0,0,340,229,0,0,0,0,0,0,0,0
T38,2025-03-08T13:18:49,0,0,974,556,0,0,0,0,0,0,0,0
T39,2025-03-08T13:18:49,0,0,746,371,0,0,0,0,0,0,0,0
